id,name
82,"Reduce Stress Eating"
88,"Manage Restlessness"
100,"Develop Gratitude"
102,"Appreciate Your Strength"
104,"Find Your Inner Strength"
106,"Relieve Anxiety"
107,"Chakra Intro"
108,"Root Chakra For Stability"
109,"Sacral Chakra For Creativity"
110,"Solar Plexus For Strength"
111,"Heart Chakra For Love"
112,"Throat Chakra For Communication"
113,"Third Eye For Intuition"
114,"Crown Chakra For Purpose"
115,"For Challenging Situations"
116,"What Is Meditation? (हिन्दी)"
117,"Manage Distractions (हिन्दी)"
118,"Know Your Thoughts"
119,"The Power Of Breath (हिन्दी)"
120,"Scan Your Thinking"
121,"Full Body Awareness (हिन्दी)"
122,"Attention vs Awareness (हिन्दी)"
123,"A New Perspective"
124,"Walk Mindfully (हिन्दी)"
125,"Think From -ve to +ve"
126,"To A New Start (हिन्दी)"
127,"Study Your Perspective"
128,"Strengthen Your Bond"
129,"Appreciate Little Things"
130,"Nurture Your Love"
131,"Celebrate The Moments"
132,"Revive The Spark"
133,"Express Your Love"
268,"Notice Distractions"
269,"Learn Prioritisation"
270,"Deepen Focus"
271,"Digital Detox"
272,"Information Overflow"
273,"Mind Push-ups"
274,Regenerate
283,"Eliminate Negative Beliefs "
287,"Boost Your Focus"
288,"10 Mins Digital Detox "
292,"Get Laser Focus "
293,"Quick Recharge"
298,"Boost Your Self-Esteem"
299,"Express Emotions "
341,"Be More Present (हिन्दी)"
343,"Connect Within"
344,"Breath : Your Guide (हिन्दी)"
398,"Stop Panicking In Exams (हिन्दी)"
399,"Stop Panicking In Exams"
400,"Stop Panicking In Exams (मराठी)"
405,"Day 1: Start Your Journey (हिन्दी)"
406,"Day 2: Steps To Recharge (हिन्दी)"
407,"Day 3: Eye-Magination (हिन्दी)"
408,"Day 4: Mind Nation (हिन्दी)"
409,"Day 5: For Fierce Focus (हिन्दी)"
410,"Day 6: Spread Love (हिन्दी)"
411,"Day 7: Start Daily Practice (हिन्दी)"
413,"Prioritise Like A Pro"
414,"Get Motivated"
417,"Strengthen Your Relationships"
418,"Block Distractions "
419,"Breathe Out Difficulties (हिन्दी)"
420,"Shift Your Perspective"
422,"Get Instant Focus"
423,"Boost Your Confidence"
424,"Manage Your Anger"
425,"Avoid Distractions"
426,"Block Distractions (हिन्दी)"
427,"Cleanse Your Chakras"
428,"5 Mins Belly Breathing"
429,"Improve Your Intuition"
430,"Beat Anxious Thoughts"
432,"Create New Opportunities"
433,"Create Positive Mindset"
434,Clarity
435,Focus
436,Memory
437,Creativity
438,"Change Thought-Patterns "
439,"For Over-Burdened Mind"
440,"Visualise Your Future"
441,"Mindful Walk (हिन्दी)"
442,"20 Min Relaxation"
443,"Manage Info-Overload "
444,"Manifest Your Future"
446,"Train Your Attention"
475,"Manifest Good Health"
476,"Diwali: The Light Within You"
477,"Diwali: The Light Within You (हिन्दी)"
490,"Day 1: Start Your Journey"
491,"Day 2: Steps To Recharge"
492,"Day 3: Eye-Magination"
493,"Day 4: Mind Nation"
494,"Day 5: For Fierce Focus"
495,"Day 6: Spread Love"
496,"Day 7: Start Daily Practice"
517,"Day 1: Start Your Journey (ગુજરાતી)"
518,"Day 2: Steps To Recharge (ગુજરાતી)"
519,"Day 3: Eye - Magination (ગુજરાતી)"
520,"Day 4: Mind Nation (ગુજરાતી)"
521,"Day 5: For Fierce Focus (ગુજરાતી)"
522,"Day 6: Spread Love (ગુજરાતી)"
523,"Day 7: Start Daily Practice (ગુજરાતી)"
524,"Teacher's Meditation"
533,"Be A Loving Parent "
554,"Day 1: Start Your Journey (বাংলা)"
555,"Day 2: Steps To Recharge (বাংলা)"
556,"Day 3: Eye-Magination (বাংলা)"
557,"Day 4: Mind Nation (বাংলা)"
558,"Day 5: For Fierce Focus (বাংলা)"
559,"Day 6: Spread Love (বাংলা)"
560,"Start Daily Practice (বাংলা)"
561,"Fear Setting And Mind Mapping(हिन्दी)"
562,"Pre-Exam Meditation (हिन्दी)"
563,"To Re-Energize Between Studies(हिन्दी)"
564,"Sharpen Your Focus (हिन्दी)"
565,"Night Before Exam (हिन्दी)"
566,"Visualise And Succeed (हिन्दी)"
567,"Sitting With The Mind"
568,"Pleasure Of Standing"
569,"Breathe In Love"
570,"Just Relax"
571,"Soft Gaze"
572,"The Power Of Smile"
573,"Intimate World"
574,"Body Scan"
575,"Manage Your Emotions"
576,Incantations(Affirmations)
577,Visualization
578,"Sound Bath"
579,"Happy Place"
580,"Self Compassion"
581,"Anchoring On Breath"
582,"Release The Hurt"
583,Reflection
584,"Doing To Know"
585,"Dealing With Disappointment"
586,"Resolve Past Trauma"
587,"Sound Meditation"
588,"Just Another Thought"
589,"Letting Go Of The Past"
591,"The Witness"
593,"Meditation In Daily Life"
595,"Anxiety And Restlessness"
596,"Relieve Stress"
597,"Emotional Pain"
598,"Deal With Depression"
599,"Reduce Numbness"
600,"Manage Your Anger"
601,"Let Go Of Shame And Guilt"
602,"Tackle Fear"
603,"Remove Self-Doubt"
604,"Gain Self Confidence"
606,"What Is Meditation?"
609,"Manage Distractions"
612,"The Power Of Breath"
613,"Full Body Awareness"
614,"Attention vs Awareness"
615,"Day 1: Start Your Journey (தமிழ்)"
616,"Day 2: Steps To Recharge (தமிழ்)"
617,"Day 3: Eye-Magination (தமிழ்)"
618,"Day 4: Mind Nation (தமிழ்)"
619,"Day 5: For Fierce Focus (தமிழ்)"
620,"Day 6: Spread Love (தமிழ்)"
621,"Day 7: Start Daily Practice (தமிழ்)"
622,"Walk Mindfully"
623,"To A New Start"
625,"Start Your Journey (मराठी)"
627,"Day 2: Steps To Recharge (मराठी)"
628,"Day 3: Eye-Magination (मराठी)"
629,"Day 4: Mind Nation (मराठी)"
630,"Day 5: For Fierce Focus (मराठी)"
631,"Spread Love (मराठी)"
632,"Start Daily Practice (मराठी)"
634,"Connect With Love & Kindness"
635,Self-Love
636,"Send Hugs To Loved Ones"
639,"Spread Good Vibes"
640,"Breathwork For Anxiety"
641,"For A Stressful Day "
642,"Manage Depression"
643,"Manage Your Anger"
644,"Face Your Fears"
645,"Clear Self-Doubt"
646,"Reflect On Your Self-Beliefs"
647,"Connect With Nature "
648,"Practice Forgiveness"
649,"Come Back To Present Moment"
650,"Meditate With Nature Sounds"
651,"Revisit A Good Memory"
652,"Quick Body Scan"
654,"Intro To Meditation"
655,"Intro To Meditation(हिन्दी)"
656,"Intro To Meditation(தமிழ்)"
657,"Intro To Meditation(ಕನ್ನಡ)"
659,"Intro To Meditation(ગુજરાતી)"
661,"Day 1: Start Your Journey (ಕನ್ನಡ)"
