id,name,dasha
958,Meaning of Mantra (हिन्दी),Ketu
959,Science Behind Mantras (हिन्दी),Venus
960,Mantras and Spirituality (हिन्दी),Sun
961,Overcoming Distractions (हिन्दी),Moon
962,Manifesting with a Mantra (हिन्दी),Mars
963,Deeper Meaning of Om Mantra (हिन्दी),Rahu
964,Meditating in Turiya (हिन्दी),Jupiter
965,Om Chanting with Turiya (हिन्दी),Saturn
966,108 Times Om Chanting  (हिन्दी),Mercury
968,Meaning Of Mantra,Ketu
969,Science Behind Mantras,Venus
970,Mantras And Spirituality,Sun
971,Overcoming Distractions,Moon
972,Manifesting With A Mantra,Mars
973,Deeper Meaning Of Om Mantra,Rahu
974,Meditating In Turiya,Jupiter
975,108 Times Om Chanting ,Saturn
976,Om Chanting With Turiya ,Mercury
1031,Universal Mantra - Aum Mani Padme Hum,Ketu
1032,Om Mani Padme Hum (हिन्दी),Venus
1033,Mantra for Long Life,Sun
1034,Kuber Mantra for Wealth,Moon
1035,Vajraguru Mantra for Success,Mars
1083,Om Chanting,Rahu
1084,Om Chanting,Jupiter
1087,Om Mantra,Saturn
1090,Om Mani Padme Hum (21 Times),Mercury
1092,Om Mani Padme Hum (108 Times),Ketu
1093,Maa Tara Mantra (21 Times),Venus
1095,Maa Tara Mantra (108 Times),Sun
1096,Mantra For Good Health (21 Times),Moon
1098,Mantra For Good Health (108 Times),Mars
1099,Mantra For Wealth (21 Times),Rahu
1101,Mantra For Wealth (108 Times),Jupiter
1116,21 Times Om Chanting,Saturn
1117,21 Times Om Chanting (हिन्दी),Mercury
1175,Maha Mantra - An Introduction,Ketu
1176,Yojana - Align Yourself,Venus
1177,Sambandha - Reconnect With Self,Sun
1178,Seva - Ultimate Way To Serve,Moon
1179,Vipralambha - Overcome Loneliness,Mars
1180,Saranagati - All You Need Is Love,Rahu
1181,Sankalpa - Strong Determination,Jupiter
1303,108 Times Hare Krishna Chanting,Saturn
1317,"Earth Signs - Taurus, Virgo, Capricorn (हिन्दी)",Mercury
1319,"Water Signs - Cancer, Scorpio, Pisces (हिन्दी)",Ketu
1321,"Fire Signs - Aries, Leo, Sagittarius (हिन्दी)",Venus
1322,"Air Signs - Gemini, Libra, Aquarius (हिन्दी)",Sun
1323,Sky Element - all signs (हिन्दी),Moon
1356,Sita Ram Mantra,Mars
1357,Shiv Shambho,Rahu
1358,Radha Raman,Jupiter
1360,Radhe Govind,Saturn
1361,Om Namo Bhagwate,Mercury
1362,Mahamantra,Ketu
1363,Krishna Keshava,Venus
1364,Hari Haraye,Sun
1365,Chaitanya Chandraya,Moon
1444,About Shiva,Mars
1445,Significance of Shiva,Rahu
1446,How to Worship Shiva,Jupiter
1447,Chanting of Namah Shivay,Saturn
1467,Introduction to Shiva Mantra,Mercury
1468,Benefits of the Mantra,Ketu
1469,Daily Mantra Sadhana,Venus
1470,108 times Chanting,Sun
1471,Maa Tara Mantra (हिन्दी),Moon
1472,Maa Tara Mantra For Vitality,Mars
1478,Mantra for Long Life (हिन्दी),Rahu
1479,Kuber Mantra for Wealth (हिन्दी),Jupiter
1481,Vajraguru Mantra (हिन्दी),Saturn
1507,Introduction to Ganesh Mantra ,Mercury
1508,Ganesh Mantra - 108 Chants,Ketu
1509,Introduction to Vitteshwar Mantra ,Venus
1510,Vitteshwar Mantra - 108 Chants,Sun
1511,Introduction to Saraswati Mantra,Moon
1512,Saraswati Mantra - 108 Chants,Mars
1513,Introduction to Bhairav,Rahu
1514,Importance of Bhairav Mantra,Jupiter
1515,Bhairav as Guru,Saturn
1516,Connect with Bhairav,Mercury
1517,Bhairav Mantra Sadhana,Ketu
1536,Batuk Bhairav: Parichay,Venus
1537,Batuk Bhairav: Itihasa,Sun
1538,Batuk Bhairav: Daily Sadhana,Moon
1540,Batuk Bhairav: Upasana 21 Day Special,Mars
1541,Batuk Bhairav Sankalp (3 rounds),Rahu
1542,Batuk Bhairav Sankalp (9 rounds),Jupiter
1544,Bhairava: 64 Forms ,Saturn
1545,The Ashtabhairava,Mercury
1546,Kaal Bhairava,Ketu
1547,Batuk Bhairava,Venus
1551,Maa Durga Sadhana,Sun
1552,Maa Durga: Daily Mantra (9 rounds),Moon
1695,Maha Mantra - An Introduction (हिन्दी),Mars
1696,Yojana - Align Yourself (हिन्दी),Rahu
1697,Sambandha - Reconnect With Self (हिन्दी),Jupiter
1699,Vipralambha - Overcome Loneliness (हिन्दी),Saturn
1700,Saranagati - All You Need Is Love (हिन्दी),Mercury
1701,Sankalpa - Strong Determination (हिन्दी),Ketu
1702,108 Times Hare Krishna Chanting (हिन्दी),Venus
1703,Meaning of Mantra (मराठी),Sun
1704,Science Behind Mantras (मराठी),Moon
1705,Mantras and Spirituality (मराठी),Mars
1706,Overcoming Distractions (मराठी),Rahu
1707,Manifestation with a Mantra (मराठी),Jupiter
1708,Deeper Meaning of Om Mantra (मराठी),Saturn
